GO_BP	Gene_Size	Gene_List
GO:0000002:mitochondrial genome maintenance	12	AKT3,LONP1,MEF2A,MGME1,MPV17,MSTO1,OPA1,PIF1,SLC25A33,SLC25A36,SLC25A4,TYMP
GO:0000003:reproduction	4	GNRH1,GNRH2,LIN9,MMP23B
GO:0000012:single strand break repair	11	APLF,APTX,E9PQ18,ERCC6,ERCC8,LIG4,Q6ZNB5,SIRT1,TDP1,TNP1,XRCC1
GO:0000017:alpha-glucoside transport	2	SLC5A1,SLC5A2
GO:0000018:regulation of DNA recombination	6	ALYREF,IL7R,KPNA1,KPNA2,SMARCAD1,THOC1
GO:0000019:regulation of mitotic recombination	3	ERCC2,MRE11,RAD50
GO:0000022:mitotic spindle elongation	2	KIF23,PRC1
GO:0000023:maltose metabolic process	3	GAA,GANC,MGAM
GO:0000027:ribosomal large subunit assembly	26	BOP1,BRIX1,MDN1,MRPL11,MRPL20,MRTO4,NLE1,NOP2,NOP53,PPAN,PPAN-P2RY11,RPF2,RPL10,RPL10L,RPL11,RPL12,RPL23A,RPL24,RPL3,RPL3L,RPL5,RPL6,RPLP0,RPLP0P6,RRS1,RSL24D1
GO:0000028:ribosomal small subunit assembly	18	ERAL1,LOC102724159,MRPS11,MRPS7,PWP2,RPS10,RPS10-NUDT3,RPS10P5,RPS14,RPS15,RPS19,RPS27,RPS27L,RPS28,RPS5,RPSA,RRP7A,RRP7BP
GO:0000038:very long-chain fatty acid metabolic process	14	ABCD2,ACAA1,ACOT1,ACOT2,ACOT4,ACOX1,ACSBG1,ACSL1,CYP4F12,CYP4F2,HSD17B4,PEX2,SLC27A5,SLC27A6
GO:0000045:autophagosome assembly	59	AMBRA1,ATG101,ATG12,ATG13,ATG14,ATG16L1,ATG16L2,ATG2A,ATG2B,ATG3,ATG5,ATG7,ATG9A,ATG9B,BAG3,BECN1,BECN2,EMC6,GABARAP,GABARAPL1,GABARAPL2,GABARAPL3,IRGM,KIAA1324,MAP1LC3A,MAP1LC3B,MAP1LC3B2,MAP1LC3C,NSFL1C,PACS2,PIK3C3,PSEN1,RAB1A,RAB1B,RAB1C,RAB23,RAB33B,RAB7A,RB1CC1,RUFY4,STING1,STX12,SYNPO2,TCIRG1,TMEM41B,TP53INP1,TP53INP2,TRAPPC8,UBQLN1,UBQLN2,UBXN2A,UBXN2B,ULK1,ULK2,VMP1,WDR45,WDR45B,WIPI1,WIPI2
GO:0000050:urea cycle	11	ARG1,ARG2,ASL,ASS1,CEBPA,CPS1,NAGS,NMRAL1,OTC,SLC25A15,SLC25A2
GO:0000052:citrulline metabolic process	3	ASS1,DDAH1,DDAH2
GO:0000054:ribosomal subunit export from nucleus	6	A0A0U1RQV5,ABCE1,EIF6,LSG1,RAN,XPO1
GO:0000055:ribosomal large subunit export from nucleus	8	NMD3,NPM1,NUP88,RAN,RRS1,SDAD1,XPO1,ZNF593
GO:0000056:ribosomal small subunit export from nucleus	7	A0A075B6Q4,LTV1,NPM1,NUP88,RAN,RPS15,XPO1
GO:0000070:mitotic sister chromatid segregation	32	BUB3,CDCA8,CENPK,DSN1,ESPL1,HIRA,INCENP,INO80,KIF18A,KIF18B,KIF25,KIFC1,KLHL22,KNSTRN,MAD2L1,MIS12,MSTO1,NDC80,NEK2,NSL1,NUSAP1,PLK1,RAN,SMC1A,SMC4,SPAG5,TUBG1,TUBG2,WRAP73,ZNF207,ZW10,ZWINT
GO:0000076:DNA replication checkpoint	10	CDC45,CDC6,CDT1,CLSPN,DNA2,RAD17,RAD9A,RAD9B,TIMELESS,TIPIN
GO:0000077:DNA damage checkpoint	33	A0A0U1RQJ8,ATM,ATR,ATRIP,BRIP1,CEP63,CHEK1,CHEK2,CLOCK,CLSPN,DONSON,DOT1L,E2F1,EIF2AK4,ERCC6,FBXO6,H2AX,HINFP,HUS1,INTS7,MAP3K20,MAPK14,NBN,PEA15,PTPN11,RAD1,RAD17,RAD9A,RHNO1,RPA4,TIPRL,TP53BP1,USP28
GO:0000079:regulation of cyclin-dependent protein serine/threonine kinase activity	55	ACTB,BCCIP,BLM,CCNA1,CCNA2,CCNB1,CCNB2,CCNB3,CCNC,CCND1,CCND2,CCND3,CCNE1,CCNE2,CCNF,CCNG1,CCNG2,CCNH,CCNI,CCNI2,CCNJ,CCNJL,CCNK,CCNL1,CCNL2,CCNO,CCNQ,CCNT1,CCNT2,CDC25A,CDC25C,CDC37,CDC6,CDK4,CDK5R1,CDK5R2,CDK5RAP3,CDK7,CDKN1A,CDKN1B,CDKN2B,CDKN2C,CDKN2D,CDKN3,CNPPD1,CNTD2,DIRAS3,GADD45A,GTF2H1,GTPBP4,HERC5,MNAT1,PKMYT1,SERTAD1,SFN
GO:0000080:mitotic G1 phase	2	SYCP2,SYCP2L
GO:0000082:G1/S transition of mitotic cell cycle	100	ACVR1,ACVR1B,BCAT1,CACUL1,CAMK2A,CCND1,CCNE1,CCNE2,CCNH,CDC25A,CDC34,CDC45,CDC6,CDC7,CDK2,CDK3,CDK4,CDK6,CDK7,CDKN1A,CDKN1B,CDKN2A,CDKN2C,CDKN2D,CDKN3,CDT1,CRLF3,CUL1,CUL2,CUL3,CUL4A,CUL4B,CUL5,DBF4,E2F3,EIF4E,EIF4EBP1,GMNN,GPR132,GSPT1,HINFP,ID4,INHBA,IQGAP3,ITGB1,KHDRBS1,LATS1,LATS2,MAX,MCM10,MCM2,MCM3,MCM4,MCM5,MCM6,MCM7,MCM8,MNAT1,MYC,NASP,ORC1,ORC2,ORC3,ORC4,ORC5,ORC6,PHF8,PIAS1,PIM2,PLK2,PLK3,POLA1,POLA2,POLE,POLE2,POLE3,POLE4,PPAT,PPP3CA,PPP6C,PRIM1,PRIM2,RB1,RBBP8,RCC1,RHOU,RPA1,RPA2,RPA3,RPA4,RPS6KB1,SKP2,SPDYA,TAF10,TFDP3,TRIM71,USP26,USP29,USP37,ZNF324
GO:0000083:regulation of transcription involved in G1/S transition of mitotic cell cycle	29	BACH1,BRD4,CCNA1,CCNE1,CDC45,CDC6,CDK14,CDK15,CDK16,CDK17,CDK18,CDK5,CDT1,DHFR,E2F1,E2F4,E2F6,FBXO5,GFI1,HINFP,KLF11,NPAT,ORC1,PCNA,POLA1,RRM2,TFDP1,TFDP2,TYMS
