GO_MF	Gene_Size	Gene_List
GO:0000010:trans-hexaprenyltranstransferase activity	2	PDSS1,PDSS2
GO:0000014:single-stranded DNA endodeoxyribonuclease activity	10	A0A1W2PPC4,DCLRE1C,ENDOG,ERCC1,ERCC4,EXOG,MRE11,RAD50,RBBP8,SETMAR
GO:0000026:alpha-1,2-mannosyltransferase activity	4	A0A087WZ62,ALG9,PIGB,PIGZ
GO:0000030:mannosyltransferase activity	21	A0A087WZ62,ALG1,ALG12,ALG1L,ALG1L2,ALG9,DPY19L1,DPY19L2,DPY19L2P2,DPY19L3,DPY19L4,PIGB,PIGM,PIGV,PIGZ,POMT1,POMT2,TMTC1,TMTC2,TMTC3,TMTC4
GO:0000033:alpha-1,3-mannosyltransferase activity	3	ALG2,ALG3,ALG8
GO:0000035:acyl binding	2	GNAT1,NDUFAB1
GO:0000048:peptidyltransferase activity	5	GGT1,GGT2,GGT3P,GGT5,GGT7
GO:0000049:tRNA binding	65	AARS1,AARS2,AIMP1,ALKBH1,ALKBH8,ATP5MF-PTCD1,CARS1,CTU1,CTU2,DARS2,DTD1,DTD2,EARS2,EEF1A1,EEFSEC,EIF2A,EIF2AK4,ELP1,ELP3,FARS2,FARSA,HSD17B10,IARS1,IARS2,IFIT5,IGHMBP2,KARS1,M0R2C6,MARS1,METTL1,MRPS27,NAT10,NEMF,NSUN2,NSUN3,NSUN6,PSTK,PTCD1,PUS1,RARS1,RPL35A,SARS1,SARS2,SEPSECS,SLFN11,SLFN13,SSB,TARS1,TERT,THG1L,TRMT1,TRMT10A,TRMT10B,TRMT10C,TRMT11,TRMT1L,TRMU,TRNAU1AP,TRNT1,TYW5,XPO5,XPOT,YARS1,YARS2,YRDC
GO:0000062:fatty-acyl-CoA binding	20	ACAD9,ACADL,ACADVL,ACBD3,ACBD4,ACBD5,ACBD6,ACBD7,ACOT11,ACOT12,ACOT7,ACOT7L,ALDH6A1,ECI2,GCDH,HADHA,HMGCL,SCP2,SOAT1,SOAT2
GO:0000064:L-ornithine transmembrane transporter activity	5	SLC25A15,SLC25A2,SLC7A1,SLC7A2,SLC7A3
GO:0000104:succinate dehydrogenase activity	3	SDHA,SDHC,SDHD
GO:0000146:microfilament motor activity	28	MYH10,MYH13,MYH14,MYH2,MYH3,MYH4,MYH6,MYH7,MYH8,MYH9,MYO15A,MYO19,MYO1A,MYO1B,MYO1C,MYO1D,MYO1E,MYO1F,MYO1G,MYO1H,MYO3A,MYO5A,MYO5B,MYO5C,MYO6,MYO7A,MYO7B,MYO9B
GO:0000149:SNARE binding	65	ANKRD27,BAIAP3,CAPN10,CPLX1,CPLX2,CPLX3,CPLX4,E7EQ34,EXOC3,EXOC3L1,EXOC3L2,EXOC3L4,GABARAPL2,GOSR2,LRRK2,NAPA,NBAS,NSF,PICALM,SEC24C,SEC24D,SNAP91,SNAPIN,SNCA,STX10,STX11,STX12,STX16,STX16-NPEPL1,STX17,STX19,STX1A,STX1B,STX2,STX3,STX4,STX5,STX6,STX7,STX8,STXBP1,SYT1,SYT10,SYT11,SYT12,SYT13,SYT15,SYT17,SYT2,SYT3,SYT4,SYT5,SYT6,SYT7,SYT8,SYT9,TNFAIP2,TRIM9,TSNARE1,UVRAG,VAMP2,VAMP7,VPS50,VTI1A,VTI1B
GO:0000150:recombinase activity	2	DMC1,RAD51
GO:0000166:nucleotide binding	61	ABCA2,ABO,AKAP7,APAF1,APLF,CDC6,CHD1L,CHFR,CRCP,CRY1,DHRS11,DHRS3,DXO,EXOSC10,FHIT,GDPGP1,GPSM2,HDGF,HINT1,HINT2,HINT3,HPRT1,IMPDH1,IMPDH2,ITPA,L1RE1,LTB4R,MRPL39,NAXE,NOX4,NT5C1A,NT5C1B,NT5C2,NT5C3A,NT5C3B,NT5E,NT5M,NUBP1,NUBP2,ORC4,ORC5,POLA1,POLD1,POLE,POLR2D,PRTFDC1,PXK,PYGM,REV3L,RMI1,SLC22A4,SLC27A1,SLC27A4,SLC27A6,SUCLG1,TINAG,TRIB2,TYMS,VDAC2,VDAC3,VPS11
GO:0000171:ribonuclease MRP activity	3	POP1,POP4,RPP40
GO:0000175:3'-5'-exoribonuclease activity	32	ANGEL1,ANGEL2,CNOT6,CNOT6L,CNOT7,CNOT8,DIS3,DIS3L,DIS3L2,ERI1,ERI2,ERI3,EXD2,EXOSC10,EXOSC2,EXOSC3,EXOSC4,EXOSC5,EXOSC7,EXOSC9,ISG20,ISG20L2,NOCT,PAN2,PARN,PDE12,PNLDC1,PNPT1,REXO2,TOE1,USB1,XRN2
GO:0000179:rRNA (adenine-N6,N6-)-dimethyltransferase activity	4	DIMT1,RRNAD1,TFB1M,TFB2M
GO:0000182:rDNA binding	4	BEND3,DHX33,MACROH2A1,TSPYL2
GO:0000213:tRNA-intron endonuclease activity	2	TSEN2,TSEN34
GO:0000215:tRNA 2'-phosphotransferase activity	2	NT5C3A,TRPT1
GO:0000247:C-8 sterol isomerase activity	2	EBP,SREBF2
GO:0000248:C-5 sterol desaturase activity	2	FADS1,SC5D
GO:0000249:C-22 sterol desaturase activity	3	CYP26A1,CYP26B1,CYP26C1
GO:0000253:3-keto sterol reductase activity	5	CBR3,DHRS11,DHRS4,HSD17B7,HSD3B1
GO:0000254:C-4 methylsterol oxidase activity	3	CH25H,FAXDC2,MSMO1
GO:0000268:peroxisome targeting sequence binding	4	BABAM2,CAT,PEX5,PEX5L
