Pathway	Gene_List
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	ACSS1,ACSS2,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,AKR1A1,ALDH1A3,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH3B2,ALDH7A1,ALDH9A1,ALDOA,ALDOB,ALDOC,BPGM,DLAT,DLD,ENO1,ENO2,ENO3,FBP1,FBP2,G6PC,G6PC2,GALM,GAPDH,GCK,GPI,HK1,HK2,HK3,LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,PCK1,PCK2,PDHA1,PDHA2,PDHB,PFKL,PFKM,PFKP,PGAM1,PGAM2,PGAM4,PGK1,PGK2,PGM1,PGM2,PKLR,PKM,TPI1
KEGG_CITRATE_CYCLE_TCA_CYCLE	ACLY,ACO1,ACO2,CS,DLAT,DLD,DLST,FH,IDH1,IDH2,IDH3A,IDH3B,IDH3G,MDH1,MDH2,OGDH,OGDHL,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,SDHA,SDHB,SDHC,SDHD,SUCLA2,SUCLG1,SUCLG2,SUCLG2P2
KEGG_PENTOSE_PHOSPHATE_PATHWAY	ALDOA,ALDOB,ALDOC,DERA,FBP1,FBP2,G6PD,GPI,H6PD,PFKL,PFKM,PFKP,PGD,PGLS,PGM1,PGM2,PRPS1,PRPS1L1,PRPS2,RBKS,RPE,RPEL1,RPIA,TALDO1,TKT,TKTL1,TKTL2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	AKR1B1,CRYL1,DCXR,DHDH,GUSB,RPE,RPEL1,UGDH,UGP2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,XYLB
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	AKR1B1,AKR1B10,ALDOA,ALDOB,ALDOC,FBP1,FBP2,FCSK,FPGT,GMDS,GMPPA,GMPPB,HK1,HK2,HK3,KHK,MPI,MTMR1,MTMR2,MTMR6,MTMR7,PFKFB1,PFKFB2,PFKFB3,PFKFB4,PFKL,PFKM,PFKP,PHPT1,PMM1,PMM2,SORD,TPI1,TSTA3
KEGG_GALACTOSE_METABOLISM	AKR1B1,B4GALT1,B4GALT2,G6PC,G6PC2,GAA,GALE,GALK1,GALK2,GALT,GANC,GCK,GLA,GLB1,HK1,HK2,HK3,LALBA,LCT,MGAM,PFKL,PFKM,PFKP,PGM1,PGM2,UGP2
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,MIOX,UGDH,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7
KEGG_FATTY_ACID_METABOLISM	ACAA1,ACAA2,ACADL,ACADM,ACADS,ACADSB,ACADVL,ACAT1,ACAT2,ACOX1,ACOX3,ACSL1,ACSL3,ACSL4,ACSL5,ACSL6,ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,CPT1A,CPT1B,CPT1C,CPT2,CYP4A11,CYP4A22,ECHS1,ECI1,ECI2,EHHADH,GCDH,HADH,HADHA,HADHB
KEGG_STEROID_BIOSYNTHESIS	CEL,CYP27B1,CYP51A1,DHCR24,DHCR7,EBP,FDFT1,HSD17B7,LIPA,LSS,MSMO1,NSDHL,SC5D,SOAT1,SOAT2,SQLE,TM7SF2
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	ACOX2,AKR1C4,AKR1D1,AMACR,BAAT,CH25H,CYP27A1,CYP39A1,CYP46A1,CYP7A1,CYP7B1,CYP8B1,HSD17B4,HSD3B7,SCP2,SLC27A5
