Gene	Connectivity(STRING_Score>=0.9)
UBC	358
CDC5L	343
TP53	252
EP300	182
SRC	155
PIK3R1	154
RPS6	154
CTNNB1	148
EGFR	144
UBE2I	143
RBX1	139
CUL1	138
RAC1	136
HSP90AA1	135
HDAC1	134
BRCA1	132
RPA1	132
FYN	132
SOS1	130
UBE2D2	130
POLR2A	130
PTPN11	129
SKP1	129
RPA2	128
SUMO1	126
EIF4A3	125
CREBBP	124
AKT1	124
PIK3CA	123
ESR1	122
SNW1	121
MAPK1	118
GRB2	117
HRAS	117
SNRNP70	117
JAK2	116
CDC42	115
SHC1	114
UBE2D1	113
RHOA	110
EFTUD2	108
HSPA8	107
RPS2	105
CBL	104
TRAF6	102
RPS3	102
RPA3	101
UBE2N	101
PCNA	100
UBE2D3	99
HDAC2	98
STAT3	98
RPS8	98
FBL	97
CDK2	97
PRPF8	96
SF3A2	96
RPL5	96
KRAS	95
RPSA	95
JAK1	95
SMAD3	94
NRAS	93
H2AFX	93
RPS14	93
RPS7	93
RPS4X	93
RPL4	92
RPS3A	92
CDK1	92
RPS15A	92
RPS13	91
RPS18	91
RPL10	90
MAGOH	90
RPS11	90
RPS5	90
RPS9	90
GNB1	89
RPL7	89
PTK2	88
KAT5	88
RPS16	88
RPL6	88
RPS23	88
PLCG1	87
MAPK3	87
PLK1	87
RPL11	87
RPL23	87
RPL37A	87
RPS25	86
ATM	86
CUL3	86
U2AF2	86
SYK	86
RPL18	86
RPS20	86
RPS26	85
RPL13	85
RPL7A	85
RPL23A	85
RPL9	84
TRIM28	83
RPL15	83
RPS27A	82
RPL21	81
TRAF2	81
RPL3	81
RPS19	81
RPL8	81
RPL14	81
SNRPE	80
RPL18A	80
RPL19	80
HNRNPA1	79
RPL30	79
RPL12	79
RPLP0	79
MYC	78
CUL5	78
NOP56	78
RPL31	78
RPL10A	78
RPS24	78
COPS5	77
SMAD4	77
FUS	77
RPL24	77
RPL27A	77
RPS10	77
RPS12	76
CDC20	75
RPL27	75
RNPS1	74
RBBP4	74
BTRC	74
RPL17	74
CLTC	73
RPS27	73
DDB1	73
IKBKG	73
LYN	73
ICT1	73
RPL36	73
RPS15	73
BIRC3	72
IKBKB	71
PPP2CA	71
JUN	71
MAPK14	70
PRPF19	70
SNRPF	70
SUMO2	70
TBP	70
RPL35	70
RPL22	70
GSK3B	69
PIK3CB	69
NEDD8	69
LCK	69
RPLP2	69
RUVBL1	68
UBE2M	68
RPL38	68
APP	67
UBB	67
NBN	67
PPIE	67
STAT1	67
CUL4B	66
DLG4	66
DYNLL1	66
SRRM2	65
PSMD4	65
RBBP7	65
YWHAB	65
PABPC1	65
RELA	65
CUL4A	65
RPL13A	65
AP2M1	64
ITGB1	64
SMAD2	64
CHUK	64
SNRPD2	64
SNRPD1	64
PPP2R1A	63
VCP	63
MAPK8	63
HIST1H2BB	63
RNF2	63
SF3B1	63
PTPN6	63
KAT2B	62
PSMC5	62
SNRPA1	62
DHX15	62
RPLP1	62
RPL35A	62
YWHAZ	61
COPS6	61
FN1	61
PSMA3	61
CHM	61
CHML	61
ERBB2	61
AURKAIP1	61
HNRNPK	61
RPS28	61
RPS21	61
SNRNP200	60
CRK	60
MDM2	60
CASP3	60
PRPF3	60
TCEB2	60
RAD50	60
SNRPG	60
SF3A1	60
PSMA6	59
PSMD14	59
ELAVL1	59
TCEB1	59
NHP2L1	59
SF3B3	59
UCHL5	58
CFTR	58
PSMD2	58
PAK1	58
RAF1	58
NCBP1	58
PAK2	58
MAP3K7	58
NIFK	58
NOP58	58
RPL10L	58
EIF4B	58
RPL34	58
NGF	57
RB1	57
CDKN1A	57
PSMA1	57
PSMB1	57
PSMD1	57
UBA52	57
TGOLN2	57
SRRM1	57
GDI2	57
MED1	57
SIN3A	57
RIPK1	57
POLR2E	57
AP2A1	56
PSMA2	56
PSMA4	56
YWHAE	56
GDI1	56
HLA-DPA1	56
HLA-DRA	56
CASP8	56
HDAC3	56
CUL2	56
DDX5	56
NTRK1	55
NDUFS3	55
CDH1	55
GNG2	55
PSMA5	55
PSMC3	55
HIF1A	55
HLA-DQA1	55
HIST3H3	55
WDR5	55
MRPL50	55
B2M	55
AP2B1	54
CD2BP2	54
PRKACA	54
RPL32	54
ABL1	54
PSMA7	54
PSMC2	54
MTOR	54
PARK2	54
CCNB1	54
EEF1A1	54
ATR	53
ACTB	53
PSMB3	53
PSMB4	53
SRSF1	53
XPO1	53
HLA-DQA2	53
TRIM25	53
MRPL4	53
KPNB1	52
TRRAP	52
PSMB2	52
PSMC1	52
PSMC4	52
GNB2L1	52
HNRNPM	52
PIK3R2	52
UBE2L6	52
TP53BP1	52
MRPL12	52
ALYREF	51
PSMC6	51
PSMD11	51
PSMD3	51
HNRNPU	51
BCAR1	51
XRCC6	51
GAB1	51
SART1	51
HNRNPR	51
NCK1	50
ARRB2	50
PSMD12	50
PSMD6	50
PSMD8	50
EZH2	50
AP2A2	50
FZR1	50
DVL2	50
MRPS30	50
PES1	50
CDK7	50
SNRPD3	50
MRPL42	50
CDKN1B	49
PSMB5	49
PSMB6	49
PSMD7	49
GAB2	49
SKP2	49
BARD1	49
MRPL9	49
SF3B2	49
RPL26	49
WASL	48
DYNLL2	48
PSMB7	48
SUZ12	48
RAB5A	48
AURKA	48
ITGB3	48
CCNA2	48
MET	48
MDC1	48
MRPL1	48
MRPL47	48
TRAF3	48
NCOR1	48
GTF2F1	48
POLR2C	48
CDK8	48
SF3A3	48
RPS27L	48
RPS17	48
RXRA	47
RUVBL2	47
ACTL6A	47
CDK9	47
PCM1	47
NXF1	47
DNM2	47
RAP1A	47
UBE2V2	47
MRPL10	47
MRPL39	47
MRPL41	47
KDR	47
TFDP1	47
ITCH	47
PCBP1	47
KIAA0020	46
RAD51	46
ARRB1	46
PSMD13	46
AR	46
BLM	46
PPP1CB	46
AP2S1	45
ADRM1	45
NCOR2	45
PRPF4	45
SNRPN	45
NFKBIA	45
CD3G	45
STAT5A	45
SEC22B	45
VAV1	45
CCNC	45
RPL26L1	45
DHX9	44
DYNC1H1	44
RAB6A	44
VHL	44
CCND1	44
PXN	44
NOP2	44
CDK4	44
SRSF3	44
TYK2	44
MAPK6	44
NCBP2	44
PRPF31	44
HNRNPH1	44
RPL28	44
DDX18	43
NDUFS5	43
YY1	43
CLTA	43
NOTCH1	43
GNAI2	43
PSMB8	43
HSP90AB1	43
IRS1	43
HNRNPL	43
PARP1	43
KDM1A	43
BRAF	43
USO1	43
NDUFA9	43
AURKB	43
MRPL28	43
SEC13	43
BIRC2	43
TSR1	43
POLR2B	43
TUBA1A	43
PRPF6	43
HNRNPC	43
DKC1	43
PSMB9	43
KRR1	42
NDUFA8	42
NDUFS7	42
SMARCA4	42
SIRT1	42
BUB1B	42
PTPN1	42
RAB11A	42
UBE2E1	42
FRS2	42
DCUN1D1	42
DDX58	42
NDUFA12	42
NFKB1	42
SUPT5H	42
COPS2	42
HNRNPF	42
NGFR	41
STAT5B	41
SMURF1	41
GNB2	41
EPS15	41
PPP1CC	41
RBM8A	41
SF3B4	41
CSK	41
NCOA1	41
ISG15	41
RNF7	41
HSPA5	41
TNFRSF1A	41
HIST2H2AC	41
FBXW11	41
GTPBP4	41
COPS4	41
MED12	41
RPS29	41
NUP153	40
ITSN1	40
RUNX1	40
DYNC1I2	40
PAFAH1B1	40
NINL	40
GNAI1	40
PSMD5	40
EED	40
OFD1	40
SRSF7	40
H2AFZ	40
HGF	40
MCM2	40
NDUFA4	40
KAT2A	40
POLR2F	40
COPS3	40
GNAI3	40
IRAK1	40
RBMX	40
DCAF13	40
NUP107	39
EBNA1BP2	39
CD74	39
XAB2	39
RAB1B	39
NR3C1	39
HERC2	39
TAB2	39
POLR2H	39
SKIV2L2	39
TLR4	39
PPP1CA	39
CCT2	38
RHOC	38
SMAD7	38
CD4	38
HGS	38
SHFM1	38
USP14	38
EGLN3	38
CBFB	38
ULK1	38
RAB1A	38
PAK3	38
RAB8A	38
HIST1H4A	38
TAF10	38
TAB1	38
PLCG2	38
SH3KBP1	38
CHD4	38
MED23	38
MED28	38
GTF2F2	38
FTSJ3	37
PRKAA2	37
NDUFB11	37
SMURF2	37
PIK3CD	37
L1CAM	37
SH3GL2	37
ARF1	37
EIF4A1	37
EIF4G1	37
VEGFA	37
MCM7	37
PAXIP1	37
HIST2H2BE	37
MRE11A	37
RBBP8	37
CYC1	37
TUFM	37
MRPL13	37
MRPL37	37
TBK1	37
SEC23A	37
MAP3K14	37
POLR2G	37
COPS7A	37
LCP2	37
FAU	37
MED13	37
MED16	37
MED17	37
MED21	37
MED4	37
SRSF5	37
PRKAA1	36
EGF	36
ITGAV	36
PRKAB2	36
AXIN1	36
POLD1	36
XRCC5	36
SP1	36
PIAS4	36
NDUFV1	36
STX5	36
FADD	36
SUMO3	36
PRPF40A	36
PPARGC1A	36
EIF3A	36
IRS2	36
CRKL	35
PDGFRB	35
PRKAB1	35
SMARCC2	35
DCTN2	35
TNF	35
GNAQ	35
CALM1	35
PRKCA	35
RPTOR	35
UBE2K	35
HDAC4	35
RAP1B	35
UBE2D4	35
RBBP5	35
NDUFS1	35
MRPL38	35
RING1	35
PPP2CB	35
LY96	35
KIT	35
MED24	35
MYD88	35
SNRPB	35
UBA1	35
NOC2L	34
PRKAG1	34
NDUFS2	34
SPTAN1	34
ACTN2	34
DYNC1I1	34
MAPRE1	34
BECN1	34
PTEN	34
F2	34
PRKAG2	34
RNF4	34
PLRG1	34
HSPA1A	34
RHOB	34
UBE2V1	34
INTS3	34
INTS6	34
ATF2	34
UQCRC2	34
NDUFS8	34
CDC6	34
MRPS9	34
DDX23	34
DLG3	34
NAPA	34
PSME3	34
STX6	34
PML	34
GRAP2	34
MED29	34
RAB7A	34
HNRNPA2B1	34
SOCS3	34
EEF2	34
NDUFS6	34
RPL3L	34
SNRNP40	33
MPHOSPH10	33
MYH9	33
CAPZA2	33
DCTN1	33
UPF1	33
GNB3	33
RRAGC	33
JAK3	33
RAB5C	33
YBX1	33
NCK2	33
RET	33
GPS1	33
CHEK1	33
CHEK2	33
E2F1	33
RNF168	33
NDUFS4	33
SEC24C	33
RRS1	33
DDX24	33
COPS7B	33
BYSL	33
MED10	33
MED19	33
MED26	33
MED27	33
PTBP1	33
HNRNPD	33
RPL29	33
CDK5	32
CTNNA1	32
DCC	32
ARF6	32
SMARCB1	32
CAMK2A	32
DYNC1LI1	32
TGFBR1	32
RAN	32
RARA	32
PTK6	32
RRAGA	32
ZC3H13	32
PRKAG3	32
CDC27	32
HDAC5	32
FEN1	32
TCF7L2	32
IRF3	32
UBE2E3	32
STUB1	32
INTS5	32
MAVS	32
ATP5B	32
UQCRC1	32
MRPL15	32
MRPL40	32
TGFBR2	32
PDGFB	32
RIOK1	32
CD14	32
CDK19	32
MED14	32
MED15	32
MED18	32
MED6	32
MED7	32
MED9	32
NEDD1	32
VAMP3	32
PSMA8	32
EIF3E	32
DDX56	31
PRKACB	31
IQGAP1	31
MAX	31
SMARCC1	31
ACTR1A	31
ERBB4	31
FGA	31
CEP131	31
MEAF6	31
RRAGB	31
RNF111	31
SRSF11	31
EIF4E	31
PPP5C	31
RNF8	31
WRN	31
NDUFB9	31
CDC45	31
TAF9	31
TUBG1	31
MRPL24	31
CENPA	31
CSNK2A1	31
BCAS2	31
RBCK1	31
CCNE1	31
COPS8	31
LSM2	31
HSF1	31
DDA1	31
NEDD4L	31
FGFR1	31
SOCS1	31
NDUFA13	30
NDUFB5	30
MORF4L1	30
GRIN1	30
GRIN2B	30
DYNC1LI2	30
HBEGF	30
NRG1	30
CSNK1D	30
CREB1	30
SLC38A9	30
YWHAG	30
CSNK1E	30
EIF4A2	30
ATRIP	30
DNA2	30
UIMC1	30
UQCRQ	30
NDUFB10	30
MRPL3	30
MRPS11	30
NPM1	30
CD3D	30
CD3E	30
SEC24A	30
SEC24B	30
SEC31A	30
HSPA4	30
SMARCA5	30
SF3B6	30
VAV2	30
FGFR2	30
MED20	30
MED8	30
SNRPB2	30
TRIM21	30
RANBP2	30
MTA1	30
WDR36	29
YAP1	29
CAPZA1	29
CAPZB	29
ACVR2A	29
PDPK1	29
PRKCZ	29
YWHAQ	29
CENPJ	29
CEP135	29
DDX39B	29
RB1CC1	29
CDC16	29
TLN1	29
MAP2K1	29
BET1	29
SQSTM1	29
BRIP1	29
FANCD2	29
MRPL11	29
MRPS7	29
LRP6	29
IKBKE	29
CD247	29
SEC24D	29
DNMT1	29
YES1	29
HNRNPA0	29
PRKCQ	29
LEF1	29
GOLGA2	29
CCNH	29
CHD3	29
ZAP70	29
CCDC22	29
CNTRL	29
COMMD1	29
RBL1	29
DTL	29
CCT7	29
SRSF6	29
POLR1A	29
SNRPA	29
PPARG	29
PSME2	29
IL6ST	29
NDUFA11	29
MRPL2	29
UBE2B	29
MRPL32	29
PRKACG	28
DOCK1	28
TIMMDC1	28
TUBB	28
CAT	28
ACTR2	28
SMARCE1	28
TCP1	28
CCT8	28
PSMD10	28
PSME1	28
FOXO3	28
MLST8	28
RHEB	28
MATR3	28
ATG13	28
ANAPC4	28
CDC23	28
STX1A	28
POLD3	28
AQR	28
CRNKL1	28
GNA11	28
EFNB2	28
MCM4	28
ASH2L	28
BRCA2	28
SMC1A	28
MRPL19	28
MRPS27	28
PDGFRA	28
SNRPC	28
TNFAIP3	28
BTK	28
MRTO4	28
NSA2	28
LAT	28
CDC34	28
CEP162	28
RBL2	28
MED11	28
MED25	28
MED30	28
GTF2H1	28
CCT3	28
CCT4	28
IRF7	28
PUF60	28
USP39	28
MCM3	28
CEBPB	28
MRPL35	28
POLR2J	27
EIF2S1	27
ROBO1	27
TP73	27
ACTG1	27
CCT5	27
VCL	27
SMARCD1	27
EREG	27
CCNT1	27
BCL2L1	27
PRKDC	27
RRAGD	27
LSM4	27
UBE2C	27
APEX1	27
AP1B1	27
FGB	27
POLD2	27
POLD4	27
PRMT5	27
INTS1	27
DCLRE1C	27
ATP5A1	27
SUPT3H	27
MRPS34	27
MRPS5	27
DVL3	27
PTK2B	27
DLD	27
TAB3	27
C3	27
NCOA3	27
STAM2	27
FBXO6	27
FBXO7	27
WBP4	27
RAB9A	27
VAMP2	27
CSF2RB	27
KRT27	27
BRIX1	26
TBL3	26
SLIT2	26
CAMK2B	26
SMAD1	26
ACVR2B	26
BTC	26
NRG4	26
VWF	26
ADRB2	26
EXOSC4	26
ERBB3	26
TSC2	26
XIAP	26
ODF2	26
LSM6	26
ATG101	26
APC	26
ANAPC2	26
PICALM	26
CDC73	26
FGG	26
JUP	26
RMI1	26
RASA1	26
EFNB1	26
EPAS1	26
STAM	26
NEDD4	26
HIST1H3A	26
IFIH1	26
RNF135	26
CTDP1	26
MSH2	26
SMC3	26
ATP5C1	26
RAD23B	26
TADA3	26
NDC80	26
MRPS31	26
TYROBP	26
RIPK2	26
CDC37	26
NRG2	26
ROCK1	26
CBX3	26
CDT1	26
ORC1	26
RBPJ	26
ERCC3	26
POLR1C	26
DDB2	26
MTA2	26
NDUFV2	26
EIF3D	26
SRSF9	26
IRAK4	26
IL2RG	26
MAPK11	25
ACTR10	25
DCTN3	25
DCTN4	25
DCTN5	25
DAB2	25
NTRK2	25
CTR9	25
HAUS8	25
ITGA2B	25
SFN	25
ANAPC1	25
TAF5	25
SIAH1	25
CDK6	25
TMED10	25
UBE2E2	25
GDNF	25
GFRA1	25
HIST4H4	25
MCM5	25
NDUFB8	25
CCDC101	25
MRPL45	25
MRPS15	25
CAV1	25
CANX	25
CEP290	25
GORASP1	25
NSF	25
VAV3	25
WDR46	25
POLR2D	25
EHMT2	25
CCT6A	25
POLA1	25
RAD18	25
PLG	25
STX4	25
TAF6	25
ERCC8	25
GTF2B	25
TRA2B	25
EIF6	25
EIF3L	25
MRPL14	25
STX12	25
MRPL16	25
KRT1	25
KRT15	25
KRT31	25
RPF2	24
NTN1	24
POLR1B	24
SMARCA2	24
BICD1	24
DCTN6	24
CTTN	24
BMPR2	24
NCAM1	24
PTGES3	24
PCNT	24
AKT2	24
FOXO1	24
SRSF2	24
MAD2L1	24
DVL1	24
TOP3A	24
SNCA	24
ARF4	24
GBF1	24
TAF1	24
TOPBP1	24
XPC	24
WNT3A	24
DLG2	24
TLR3	24
TRADD	24
MNAT1	24
PNO1	24
P4HB	24
TICAM1	24
TICAM2	24
E2F4	24
TANK	24
TSG101	24
VAMP4	24
MRPL18	24
MRPL55	24
CLTB	23
EIF2S2	23
PEX14	23
TERF2	23
HSPA9	23
DMAP1	23
EPC1	23
MCRS1	23
GNB4	23
EXOSC10	23
FGFR1OP	23
ILK	23
TERT	23
CEP152	23
LSM8	23
UBE2S	23
GABARAP	23
FURIN	23
AP1G1	23
WNT5A	23
CTBP1	23
XRCC1	23
RMI2	23
ARTN	23
NRTN	23
PSPN	23
CAND1	23
ASF1A	23
RFC1	23
STK11	23
ATP5F1	23
MCM10	23
DAXX	23
TAF9B	23
MRPL22	23
GNL3	23
CASP10	23
CYLD	23
PRKCD	23
CCNA1	23
MCM6	23
ORC2	23
MED22	23
CDKN2A	23
HAUS6	23
TAF15	23
PPP2R1B	23
PSMD9	23
GATAD2A	23
TAF4	23
GATAD2B	23
POLR3C	23
IGF1R	23
NUP214	23
ESR2	23
EIF3C	23
STX16	23
STX7	23
KRT16	23
KRT19	23
ARID1A	22
SS18	22
NPHS1	22
GALNT1	22
GALNT2	22
GNA15	22
DAG1	22
CEP63	22
PIK3C3	22
ANAPC7	22
ANAPC11	22
HSPG2	22
APITD1	22
FANCG	22
GNB5	22
ELAVL2	22
SYF2	22
NCOA2	22
SAP30	22
GFRA2	22
GFRA3	22
GFRA4	22
PRMT1	22
FOS	22
MAPK9	22
SNAP29	22
EXO1	22
RIF1	22
ATP6V0D1	22
VDAC1	22
COX4I1	22
CDC7	22
TAF12	22
TUBB4B	22
MRPL17	22
MRPL44	22
MRPS2	22
ELMO1	22
SF1	22
CBX4	22
PHC2	22
CCNB2	22
RBM34	22
GH1	22
GH2	22
EXOSC1	22
GTF2A1	22
E2F6	22
WDR77	22
RPGRIP1L	22
HNRNPUL1	22
PCBP2	22
TUBGCP2	22
NRP1	22
RFWD2	22
XPA	22
RAB5B	22
IL5RA	22
USP7	22
HNRNPH2	22
HNRNPA3	22
POLR2L	22
SNAP23	22
KRT25	22
KRT35	22
AATF	21
NOL6	21
MAPK12	21
ECSIT	21
MYH10	21
TBL1XR1	21
CAPZA3	21
BMPR1A	21
CSNK2B	21
NOTCH3	21
NUP85	21
STIP1	21
ALB	21
EXOSC5	21
PRKAR2B	21
CDK5RAP2	21
TSC1	21
RBM17	21
SRRT	21
ATG14	21
GRB7	21
SPTA1	21
APBB1IP	21
PSEN1	21
FANCA	21
RAB11B	21
RND1	21
EFNB3	21
HCFC1	21
BMI1	21
GABARAPL2	21
ATP5O	21
UQCRB	21
DBF4	21
ATXN7L3	21
USP22	21
MRPS10	21
SAR1B	21
GOSR1	21
DDX27	21
WDR12	21
RUNX3	21
MAK16	21
NFATC2	21
DLG1	21
FGF23	21
CDC40	21
CCL5	21
TUBA1C	21
POLR1D	21
HUWE1	21
CPSF2	21
MAP2K7	21
ROCK2	21
HAUS1	21
HAUS2	21
MBD3	21
MYL6	21
POLR3A	21
IGF2	21
RBM28	21
LSM5	21
HERC5	21
EIF3I	21
STX10	21
TAF11	21
MRPL51	21
PPP1R12A	21
MMP2	20
SDHB	20
ACTR3	20
EZR	20
MORF4L2	20
VPS72	20
YEATS4	20
BMPR1B	20
GNAS	20
AP1S2	20
AGO2	20
EXOSC3	20
TUBGCP3	20
GRB10	20
TRIP4	20
CEP192	20
PIK3R4	20
RFC2	20
TXN	20
FANCM	20
LAMC1	20
PELP1	20
NCL	20
F2R	20
ATP5H	20
COX5A	20
NDUFA5	20
LAMTOR2	20
DAP3	20
MRPS28	20
MRPS35	20
RYBP	20
YAF2	20
HLA-E	20
BCL2	20
BCL10	20
UQCRFS1	20
STX18	20
LAMA3	20
RAD21	20
SSRP1	20
UTP14A	20
CEP89	20
FGFR3	20
HIST1H2BA	20
CKS1B	20
MED13L	20
FBXW4	20
PTPRC	20
DHX38	20
FCGR1A	20
CSTF3	20
TCEA1	20
CTNND1	20
PLXNA1	20
NME7	20
PPARA	20
MAP3K1	20
IL2RB	20
IFT20	20
EIF3H	20
CSTF2	20
RXRB	20
TCF3	20
CSF2	20
CSF2RA	20
IGF1	20
GLTSCR2	20
DDX20	20
SIKE1	20
VAMP8	20
NUP62	20
VTI1A	20
NUP35	20
KRT38	20
SEH1L	19
GAK	19
APOA1	19
CDH2	19
NDUFA2	19
SDHA	19
HSPD1	19
DIAPH1	19
DPF3	19
CAMK2D	19
CAMK2G	19
GRIN2A	19
MOV10	19
AKAP9	19
PPP2R5C	19
THOC5	19
AMBRA1	19
ERLIN2	19
WWTR1	19
AP1M1	19
ITGB3BP	19
COPA	19
GNA14	19
KMT2A	19
INTS10	19
RFC4	19
RFC5	19
ATG5	19
NDUFB7	19
ATP6V1B1	19
CLSPN	19
MRPL21	19
MRPL46	19
CSNK2A2	19
BID	19
HSPA1B	19
DNMT3B	19
NFKB2	19
FAS	19
PCGF6	19
LAMC2	19
ERCC1	19
ERCC4	19
POLH	19
TCEB3	19
RRP8	19
LNX1	19
PIK3R3	19
REL	19
TP63	19
EXOSC8	19
C5	19
GATA3	19
INSR	19
FGFR4	19
CHERP	19
SF3B5	19
CCP110	19
TUBA1B	19
PRKCI	19
RANGAP1	19
DCAF4	19
HAUS7	19
MBD2	19
MTA3	19
MYH14	19
EIF3F	19
CPSF1	19
POLR3B	19
STAT6	19
IL3	19
IL3RA	19
IL5	19
TBL1X	19
UBE2W	19
DZIP3	19
STAT4	19
EIF3B	19
WWP1	19
IGF2R	19
STX3	19
UBE2A	19
MRPL20	19
KRT6C	19
KRT8	19
KRT3	19
LIG3	19
LSM3	19
MYH11	18
TPM1	18
MRGBP	18
ARID1B	18
DPF2	18
EP400	18
SMARCD3	18
ARPC2	18
TGFB1	18
NOTCH2	18
SHH	18
GNA13	18
CCNT2	18
EXOSC2	18
EXOSC7	18
MAP2K4	18
ANAPC5	18
NEK2	18
RNF123	18
TIAM1	18
AP1M2	18
AP1S1	18
OCRL	18
POLB	18
CENPU	18
PIAS1	18
MAP2K2	18
COPB1	18
COPE	18
KLC1	18
ING2	18
ARIH1	18
RAB3IP	18
SEC61A1	18
RFC3	18
JUNB	18
MAP1LC3B	18
MLH1	18
MSH6	18
COX6C	18
FANCI	18
TAF6L	18
MRPS22	18
NUF2	18
HLA-A	18
SHB	18
MALT1	18
BDNF	18
POLR3E	18
GOSR2	18
SEC23IP	18
RNF31	18
TRAF1	18
CBX8	18
LAMB3	18
MAP2K6	18
POLR2I	18
BTBD1	18
CNOT1	18
BUB1	18
C1D	18
CARM1	18
UPF3B	18
MED31	18
ERCC2	18
LEO1	18
CCT6B	18
DCAF7	18
TUBA4A	18
MOB4	18
FCGR3A	18
SRSF4	18
U2SURP	18
MAPKAPK5	18
CEP72	18
TAF7	18
HAUS3	18
MYL9	18
IFT88	18
SNAP25	18
FIP1L1	18
POLR3D	18
DNAJB1	18
OBFC1	18
RSL1D1	18
RCOR1	18
QKI	18
RPAP2	18
PPP2R5D	18
MRPL49	18
IRAK2	18
KRT17	18
KRT2	18
KRT5	18
KRT75	18
KRT86	18
PPP1R12B	18
STX8	18
PSMG2	18
ABI1	17
BAIAP2	17
ITGA4	17
BCR	17
CDON	17
HCK	17
TRIO	17
PEX10	17
PEX12	17
PEX13	17
PEX7	17
NDUFAF3	17
CXCL12	17
ARPC3	17
BMP2	17
SMAD6	17
GNA12	17
RAD23A	17
UBQLN2	17
ELL	17
HMGB1	17
NUP133	17
EXOSC6	17
EPRS	17
PRKAR2A	17
BAD	17
RPS6KB1	17
CEP97	17
MAPKAPK2	17
CHTOP	17
THOC7	17
AMPH	17
ANAPC10	17
FZD4	17
STRA13	17
MAPT	17
FKBP4	17
RHO	17
ARHGDIA	17
CD44	17
EIF4G2	17
IFT74	17
MEN1	17
NCOA6	17
NOD1	17
GABARAPL1	17
KDM4A	17
KDM4B	17
BSG	17
TOMM40	17
NDUFA6	17
ATP6V0A2	17
SUPT7L	17
TADA1	17
GADD45GIP1	17
MRPS26	17
YWHAH	17
PPP2R2A	17
PCGF1	17
INPP5D	17
RAD51C	17
PHC1	17
BOP1	17
GTF2H4	17
SUPT16H	17
NOLC1	17
CHMP4B	17
CBLB	17
TEC	17
ITGB2	17
VTN	17
UPF2	17
MYB	17
KLB	17
DNMT3A	17
VPS51	17
CDC25C	17
FOXM1	17
PDS5A	17
MAML1	17
CCNK	17
SUPT4H1	17
CETN2	17
FBXW7	17
ITGB4	17
ORC5	17
ORC6	17
CPSF3	17
SMN1	17
TARDBP	17
PAF1	17
GTF2E1	17
VPS36	17
MYL12B	17
FCER1G	17
CLUAP1	17
LAMB1	17
DCAF11	17
POLR3F	17
STRAP	17
STRN	17
UBXN7	17
UBE3A	17
POLA2	17
PRIM1	17
PRIM2	17
DTX3L	17
UBE2H	17
EIF3G	17
EIF3K	17
EIF3M	17
MEF2C	17
REST	17
MRPL52	17
SREBF2	17
POLK	17
KRT33B	17
KRT34	17
KRT71	17
KRT72	17
KRT79	17
KRT40	17
TAF8	17
MMP3	16
LARS	16
PEX2	16
ACAD9	16
NDUFAF4	16
CXCR4	16
INO80	16
BRD8	16
ING3	16
NEFL	16
TTN	16
ARPC4	16
SMAD5	16
GHR	16
ATP6AP2	16
LATS2	16
CASP9	16
MAP3K5	16
THOC1	16
THOC2	16
OS9	16
SEL1L	16
DNM1	16
ITSN2	16
GCSH	16
FBXO5	16
VLDLR	16
STON2	16
