GeneA	GeneB	EdgeWeight
A1BG	CRISP3	0.757
A1BG	FDXR	0.183
A1BG	GDPD1	0.219
A1BG	GLIPR1	0.328
A1BG	KCMF1	0.532
A1BG	PSME4	0.163
A1BG	RNF123	0.305
A1BG	UBAC1	0.222
A1BG	UBR4	0.159
A1BG	UBXN1	0.179
A1BG	WDR62	0.189
A1BG	ZBTB40	0.209
A1CF	APOBEC1	0.992
A1CF	CELF2	0.613
A1CF	EIF4G1	0.288
A1CF	KHSRP	0.504
A1CF	PSMG2	0.816
A1CF	PSMG3	0.683
A1CF	SDPR	0.26
A1CF	SYNCRIP	0.424
A1CF	TNPO2	0.494
A2M	ACTB	0.225
A2M	ADAMTS1	0.463
A2M	AMBP	0.659
A2M	APOE	0.804
A2M	APP	0.967
A2M	B2M	0.698
A2M	CDC42	0.911
A2M	CDK11A	0.354
A2M	CDK7	0.158
A2M	CFTR	0.161
A2M	CPB2	0.609
A2M	CRTAC1	0.286
A2M	EGFL7	0.165
A2M	GDPD1	0.221
A2M	GRB2	0.192
A2M	HAPLN3	0.24
A2M	HIPK1	0.27
A2M	HSPA5	0.514
A2M	HSPB2	0.216
A2M	IL10	0.621
A2M	IL1B	0.691
A2M	IL4	0.473
A2M	KLK13	0.529
A2M	KLK3	0.742
A2M	KLKB1	0.966
A2M	LCAT	0.454
A2M	LEP	0.472
A2M	LOXL1	0.361
A2M	LRP1	0.912
A2M	MAPK6	0.196
A2M	METRN	0.221
A2M	METRNL	0.345
A2M	MMP1	0.932
A2M	MMP13	0.914
A2M	MMP2	0.968
A2M	MMP3	0.926
A2M	MYOC	0.269
A2M	NGF	0.671
A2M	PAEP	0.456
A2M	PAXIP1	0.288
A2M	PDF	0.154
A2M	PRADC1	0.187
A2M	PTX3	0.215
A2M	PZP	0.424
A2M	SHBG	0.35
A2M	TGIF1	0.517
A2M	TGM2	0.21
A2M	TTR	0.718
A2ML1	DUSP21	0.188
A2ML1	FCRL5	0.163
A2ML1	L2HGDH	0.317
A2ML1	THRA	0.188
A2ML1	UGT1A10	0.22
A2ML1	ZFAND4	0.209
A4GALT	ABHD14A	0.252
A4GALT	ABHD17B	0.519
A4GALT	FCGRT	0.222
A4GALT	ICK	0.191
A4GALT	PTGFRN	0.196
A4GNT	ABHD14A	0.183
A4GNT	ARF5	0.183
A4GNT	FAM213A	0.191
A4GNT	FAM3C	0.177
A4GNT	FAM69A	0.152
A4GNT	FANK1	0.237
A4GNT	ICK	0.179
A4GNT	IMPA2	0.187
A4GNT	JMJD8	0.163
A4GNT	RNF167	0.189
AAAS	KPNB1	0.937
AAAS	NUP107	0.987
AAAS	NUP153	0.971
AAAS	SEH1L	0.901
AAAS	UBE2A	0.153
AAAS	UBE2I	0.957
AAAS	XPO1	0.162
AACS	ARFIP1	0.407
AACS	STAT6	0.384
AACS	TSG101	0.396
AACS	UNC13D	0.38
AADAC	APPBP2	0.213
AADAT	CCBL2	0.889
AADAT	ECHS1	0.212
AADAT	GOT1	0.499
AADAT	OAT	0.352
AADAT	SPACA3	0.689
AAED1	PICK1	0.209
AAGAB	AMPH	0.821
AAGAB	AP1G1	0.612
AAGAB	AP1G2	0.4
AAGAB	AP1S2	0.68
AAGAB	AP1S3	0.603
AAGAB	AP2A1	0.407
AAGAB	AP2A2	0.719
AAGAB	AP2S1	0.572
AAGAB	HEATR1	0.234
AAGAB	STX4	0.186
AAGAB	STXBP3	0.359
AAK1	AP2A1	0.965
AAK1	AP2B1	0.972
AAK1	AP2M1	0.993
AAK1	AP2S1	0.986
AAK1	APP	0.238
AAK1	ATP13A2	0.211
AAK1	CCDC88A	0.235
AAK1	CLTB	0.964
AAK1	CLTC	0.962
AAK1	DVL3	0.156
AAK1	EYA4	0.237
AAK1	GAK	0.947
AAK1	GTSE1	0.266
AAK1	HSPA5	0.254
AAK1	LUZP1	0.157
AAK1	PLEC	0.262
AAK1	QSER1	0.341
AAK1	RALBP1	0.95
AAK1	REPS1	0.996
AAK1	RUNDC3A	0.88
AAK1	SEC24B	0.311
AAK1	UBE2D2	0.257
AAK1	WNK1	0.215
AAMDC	ACY3	0.232
AAMDC	VPS9D1	0.204
AAMP	ACE2	0.519
AAMP	AEN	0.574
AAMP	ASAH1	0.193
AAMP	DHPS	0.261
AAMP	DICER1	0.178
AAMP	HEXIM1	0.457
AAMP	HSF1	0.217
AAMP	INPP5K	0.234
AAMP	MMADHC	0.613
AAMP	PLIN3	0.22
AAMP	PMFBP1	0.613
AAMP	PTF1A	0.336
AAMP	PTPRU	0.295
AAMP	RPL10	0.925
AAMP	SRP9	0.223
AAMP	TBXA2R	0.524
AAMP	TCF25	0.214
AAMP	VPS52	0.21
AAMP	WNK1	0.234
AANAT	BHLHE40	0.602
AANAT	EIF4E3	0.548
AANAT	GRB10	0.202
AANAT	YWHAZ	0.936
AAR2	ACADSB	0.192
AAR2	APRT	0.192
AAR2	CD2BP2	0.925
AAR2	CDC45	0.222
AAR2	CDC5L	0.482
AAR2	CDK1	0.198
AAR2	CSE1L	0.211
AAR2	DDX23	0.884
AAR2	DDX46	0.473
AAR2	DHX15	0.459
AAR2	DHX38	0.302
AAR2	EAPP	0.91
AAR2	ECD	0.869
AAR2	EEF2	0.537
AAR2	EFTUD2	0.995
AAR2	FAM115A	0.246
AAR2	GHDC	0.192
AAR2	GJA5	0.48
AAR2	HNRNPA0	0.212
AAR2	HNRNPA1	0.215
AAR2	HNRNPA2B1	0.214
AAR2	HNRNPA3	0.204
AAR2	HNRNPC	0.205
AAR2	HNRNPD	0.199
AAR2	HNRNPM	0.258
AAR2	HSP90AA1	0.275
AAR2	HSP90AB1	0.163
AAR2	IMPA2	0.192
AAR2	INTU	0.179
AAR2	IPO11	0.318
AAR2	KDR	0.534
AAR2	KIAA1143	0.71
AAR2	KLHL36	0.186
AAR2	KPNB1	0.182
AAR2	LUC7L2	0.403
AAR2	LUC7L3	0.424
AAR2	MAD2L1	0.229
AAR2	NAMPT	0.192
AAR2	NCDN	0.612
AAR2	NME3	0.192
AAR2	PABPC1	0.171
AAR2	PAICS	0.175
AAR2	PCBP2	0.171
AAR2	PLRG1	0.282
AAR2	POLR2B	0.225
AAR2	PRPF19	0.556
AAR2	PRPF6	0.837
AAR2	PRPF8	0.995
AAR2	PTGES3	0.246
AAR2	PUF60	0.302
AAR2	RPL11	0.228
AAR2	RPL7A	0.264
AAR2	RPS10	0.153
AAR2	RPS12	0.273
AAR2	RPS15	0.185
AAR2	RPS17	0.174
AAR2	RPS19	0.239
AAR2	RPS3A	0.157
AAR2	RPS7	0.176
AAR2	RUVBL1	0.554
AAR2	RUVBL2	0.556
AAR2	SEC24C	0.167
AAR2	SF3A1	0.446
AAR2	SF3B1	0.207
AAR2	SF3B2	0.211
AAR2	SF3B3	0.179
AAR2	SLC7A6OS	0.565
AAR2	SNRNP200	0.984
AAR2	SNRNP40	0.924
AAR2	SNRNP70	0.478
AAR2	SNRPA	0.326
AAR2	SNRPA1	0.458
AAR2	SNRPD1	0.429
AAR2	SNRPD2	0.355
AAR2	SNRPD3	0.571
AAR2	SNRPE	0.457
AAR2	SNRPN	0.501
AAR2	SRSF2	0.181
AAR2	SRSF5	0.431
AAR2	TSSC4	0.927
AAR2	TTC27	0.589
AAR2	TUBB1	0.192
AAR2	UBR4	0.384
AAR2	XPOT	0.202
AAR2	ZNHIT2	0.878
AARS	ABCE1	0.333
AARS	ACTA2	0.409
AARS	ANKMY2	0.171
AARS	ARPC1B	0.16
AARS	ASNS	0.901
AARS	AURKB	0.638
AARS	CACYBP	0.27
AARS	CDK2	0.261
AARS	CIAPIN1	0.862
AARS	DARS	0.97
AARS	DPP8	0.16
AARS	DPP9	0.241
AARS	EEF2K	0.157
AARS	EIF4A3	0.273
AARS	ENO1	0.458
AARS	FARSB	0.952
AARS	FN1	0.164
AARS	GARS	0.994
AARS	HSD17B10	0.175
AARS	HSP90AA1	0.378
AARS	HSP90AB1	0.33
AARS	IARS	0.99
AARS	IPO11	0.277
AARS	LARS	0.989
AARS	METTL1	0.215
AARS	MICU1	0.621
AARS	MSH2	0.786
AARS	NARS	0.994
AARS	NIF3L1	0.267
AARS	NMD3	0.837
AARS	NSUN2	0.842
AARS	PDIA3	0.458
AARS	PPP2R5E	0.228
AARS	QARS	0.983
AARS	SAE1	0.278
AARS	SBDS	0.458
AARS	SIRT7	0.212
AARS	SOD1	0.188
AARS	SRP9	0.517
AARS	STAT1	0.847
AARS	STAT5B	0.218
AARS	TARSL2	0.98
AARS	TPD52	0.225
AARS	UBA1	0.832
AARS	WARS	0.796
AARS2	ALDH1B1	0.158
AARS2	ARHGEF26	0.183
AARS2	CD70	0.239
AARS2	DHRS4L2	0.216
AARS2	HSPD1	0.252
AARS2	IARS2	0.82
AARS2	MRM1	0.152
AARS2	MRPL4	0.197
AARS2	NDUFS7	0.237
AARS2	PDK1	0.152
AARS2	RAP1B	0.257
AARS2	RARS2	0.847
AARS2	RBM3	0.176
AARS2	SDHA	0.237
AARS2	SUCLG1	0.282
AARS2	TRMT1	0.181
AARS2	ZNRF1	0.169
AARSD1	ALKBH2	0.181
AARSD1	ARID4B	0.732
AARSD1	ARPC1A	0.276
AARSD1	ARPC5	0.159
AARSD1	CALR	0.222
AARSD1	DYNLT1	0.212
AARSD1	EFTUD2	0.213
AARSD1	GTF2E1	0.223
AARSD1	HARS	0.23
AARSD1	JADE2	0.169
AARSD1	PARVG	0.219
AARSD1	PPP1R14B	0.832
AARSD1	PRKACA	0.223
AARSD1	RHOJ	0.209
AARSD1	RPA1	0.475
AARSD1	SBDS	0.402
AARSD1	SEPT2	0.794
AARSD1	SEPT8	0.869
AARSD1	SH3GL1	0.221
AARSD1	SH3GLB2	0.221
AARSD1	SRM	0.403
AARSD1	TARS	0.523
AARSD1	TAT	0.323
AARSD1	TBCB	0.872
AARSD1	THG1L	0.222
AARSD1	TRIM45	0.807
AARSD1	TRIP13	0.166
AARSD1	ZNF185	0.202
AASDH	GORASP1	0.158
AASDH	GPSM2	0.534
AASDH	RNF113A	0.379
AASDH	TKT	0.242
AASDHPPT	ADSS	0.497
AASDHPPT	ANGPTL4	0.19
AASDHPPT	CAPZA2	0.191
AASDHPPT	DAZAP1	0.469
AASDHPPT	DLD	0.617
AASDHPPT	EHD4	0.223
AASDHPPT	FASN	0.99
AASDHPPT	HNRNPA1	0.435
AASDHPPT	HNRNPH1	0.201
AASDHPPT	MOV10L1	0.384
AASDHPPT	POTEI	0.317
AASDHPPT	PPP1R3C	0.199
AASDHPPT	RAE1	0.487
AASDHPPT	SGTA	0.167
AASDHPPT	STIL	0.252
AASDHPPT	TRAPPC4	0.39
AASDHPPT	TRIP13	0.226
AASDHPPT	UBE2D2	0.416
AASDHPPT	UMPS	0.692
AASDHPPT	USP22	0.254
AASDHPPT	ZC3HC1	0.229
AASS	ACADM	0.47
AASS	DCP1A	0.234
AASS	FBXL13	0.224
AASS	HSPD1	0.217
AASS	PDK1	0.253
AASS	SHMT2	0.269
AASS	TRMT61B	0.186
AASS	VPS37D	0.54
AATF	AR	0.412
AATF	ATM	0.445
AATF	AURKA	0.26
AATF	BRCA1	0.2
AATF	BRIX1	0.91
AATF	BTRC	0.173
AATF	CHEK2	0.459
AATF	DAPK3	0.583
AATF	DDX52	0.993
AATF	DDX56	0.989
AATF	EBNA1BP2	0.985
AATF	ESF1	0.988
AATF	FBL	0.618
AATF	FBXW11	0.173
AATF	HIPK2	0.442
AATF	HIST1H4A	0.188
AATF	KAT2A	0.311
AATF	KIAA0020	0.987
AATF	KRI1	0.984
AATF	KRR1	0.989
AATF	LDOC1	0.181
AATF	MAGED1	0.977
AATF	MAPT	0.716
AATF	MDM2	0.444
AATF	MNS1	0.261
AATF	MPHOSPH10	0.989
AATF	MPP6	0.183
AATF	MYC	0.518
AATF	NGDN	0.982
AATF	NGF	0.915
AATF	NGFR	0.915
AATF	NOC2L	0.989
AATF	NOL10	0.997
AATF	NOL6	0.991
AATF	PAWR	0.477
AATF	PIN1	0.389
AATF	POLR2J	0.931
AATF	RB1	0.935
AATF	RBBP8	0.305
AATF	RBL1	0.382
AATF	RBL2	0.379
AATF	RELA	0.377
AATF	RIOK1	0.201
AATF	RPF2	0.978
AATF	RPS2	0.215
AATF	RPS8	0.272
AATF	SP1	0.405
AATF	TADA2A	0.64
AATF	TADA2B	0.366
AATF	TADA3	0.438
AATF	TBL3	0.989
AATF	TP53	0.313
AATF	TSG101	0.682
AATF	WDR36	0.984
AATF	XPO1	0.286
AATK	ACTC1	0.223
AATK	ATAD3A	0.223
AATK	CDK5	0.785
AATK	CDK5R1	0.663
AATK	DPM1	0.154
AATK	DUSP14	0.264
AATK	P4HA1	0.33
AATK	PPP1CA	0.33
AATK	PPP1CC	0.33
AATK	SBF1	0.164
AATK	SLC25A1	0.205
AATK	SLC25A11	0.336
AATK	SLC25A12	0.269
AATK	SSR4	0.223
AATK	STK39	0.454
ABAT	ADSL	0.458
ABAT	AKR1B1	0.469
ABAT	ALDH7A1	0.956
ABAT	ASGR1	0.384
ABAT	CFL1	0.366
ABAT	CFL2	0.416
ABAT	DSTN	0.419
ABAT	ENO1	0.376
ABAT	ESD	0.507
ABAT	FAH	0.851
ABAT	FAHD1	0.75
ABAT	GDA	0.535
ABAT	GPI	0.492
ABAT	HSD17B14	0.427
ABAT	HSPE1	0.368
ABAT	LDHA	0.41
ABAT	LDHAL6B	0.449
ABAT	PDCD6IP	0.416
ABAT	PDXK	0.583
ABAT	PGM1	0.55
ABAT	PGM2	0.413
ABAT	PRPF8	0.392
ABAT	QDPR	0.442
ABAT	RAD23B	0.439
ABAT	SEC22C	0.465
ABAT	SOD2	0.466
ABAT	SORD	0.901
ABAT	ZSCAN29	0.19
ABCA1	ABCA12	0.502
ABCA1	AOX1	0.626
ABCA1	APOA1	0.998
ABCA1	ATXN10	0.328
ABCA1	CANX	0.664
ABCA1	CDC42	0.714
ABCA1	COPS2	0.379
ABCA1	COPS5	0.392
ABCA1	CSNK2A2	0.403
ABCA1	EGFR	0.275
ABCA1	FADD	0.398
ABCA1	FLOT1	0.492
ABCA1	FUS	0.154
ABCA1	HGS	0.393
ABCA1	LNX1	0.161
ABCA1	NR1H2	0.989
ABCA1	PRKACA	0.936
ABCA1	PRKACB	0.903
ABCA1	PRKACG	0.902
ABCA1	PRPF8	0.336
ABCA1	RELA	0.402
ABCA1	RXRA	0.936
ABCA1	SDHB	0.402
ABCA1	SNTA1	0.702
ABCA1	SNTB1	0.514
ABCA1	SNTB2	0.521
ABCA1	SPTLC1	0.76
ABCA1	STX12	0.484
ABCA1	TGM2	0.327
ABCA1	UGP2	0.348
ABCA1	ZDHHC8	0.905
ABCA13	APOA1	0.445
ABCA13	APOA2	0.381
ABCA13	HAGH	0.367
ABCA2	CACNA1A	0.17
ABCA2	LMAN2L	0.177
ABCA2	MYC	0.172
ABCA2	PCDH1	0.155
ABCA2	PMS2	0.193
ABCA2	PON2	0.224
ABCA2	RAB32	0.162
ABCA2	ZNRF4	0.159
ABCA3	FAM189A2	0.157
ABCA3	MCOLN3	0.158
ABCA3	TMPRSS12	0.168
ABCA3	ZNRF4	0.153
ABCA4	CNGB1	0.736
ABCA7	APOA1	0.925
ABCA7	GABRA3	0.195
ABCA7	HTR3A	0.194
ABCA7	LLGL2	0.154
ABCA7	SORT1	0.189
ABCB1	CUL7	0.185
ABCB1	DHX9	0.405
ABCB1	FBXL13	0.224
ABCB1	FBXO15	0.633
ABCB1	KRAS	0.399
ABCB1	LGALS3	0.426
ABCB1	LNX1	0.185
ABCB1	MAPRE1	0.369
ABCB1	NEDD4	0.391
ABCB1	NTRK1	0.151
ABCB1	PIM1	0.632
ABCB1	PSMB8	0.509
ABCB1	RNF2	0.379
ABCB1	UBA7	0.416
ABCB10	BAK1	0.407
ABCB10	CFTR	0.234
ABCB10	DKK3	0.163
ABCB10	ECSIT	0.392
ABCB10	IL9R	0.262
ABCB10	IMPDH1	0.158
ABCB10	LAMTOR2	0.386
ABCB10	NDUFA2	0.404
ABCB10	NDUFB11	0.82
ABCB10	PHB	0.159
ABCB10	RNF170	0.189
ABCB10	RNF4	0.151
ABCB10	SLC24A5	0.214
ABCB10	SNX4	0.261
ABCB11	AP2A1	0.478
ABCB5	CD44	0.585
ABCB5	EPHA2	0.255
ABCB5	ERBB2	0.393
ABCB5	FGFR4	0.157
ABCB5	PPP1R15B	0.403
ABCB5	RAF1	0.402
ABCB5	STK11	0.354
ABCB6	DCT	0.23
ABCB6	DPEP1	0.181
ABCB6	FANCD2	0.294
ABCB6	FLOT2	0.169
ABCB6	GNAI2	0.173
ABCB6	RNF126	0.166
ABCB6	SLC1A5	0.157
ABCB6	TNF	0.235
ABCB6	TOLLIP	0.183
ABCB6	TOMM40	0.401
ABCB7	ACAT1	0.445
ABCB7	ATP6V1D	0.386
ABCB7	CFTR	0.34
ABCB7	CKB	0.4
ABCB7	CKM	0.382
ABCB7	COQ9	0.214
ABCB7	EPRS	0.433
ABCB7	FAF2	0.348
ABCB7	FECH	0.946
ABCB7	FKBP8	0.387
ABCB7	MAT2A	0.392
ABCB7	MRPL10	0.386
ABCB7	MTCH1	0.41
ABCB7	NDUFA4	0.187
ABCB7	NDUFB6	0.404
ABCB7	PDCD6	0.386
ABCB7	RAB2A	0.41
ABCB7	RPN1	0.432
ABCB7	SDF4	0.203
ABCB7	UBC	0.156
ABCB7	UNK	0.256
ABCB7	UQCRC1	0.461
ABCB7	YBX3	0.39
ABCB8	ADPGK	0.386
ABCB8	CFTR	0.196
ABCB8	FMNL1	0.256
ABCB8	GPR37	0.173
ABCB8	IMPAD1	0.397
ABCB8	LDHAL6B	0.395
ABCB8	MTERF3	0.406
ABCB8	PROCR	0.417
ABCB8	RAB11FIP5	0.386
ABCB8	RASGRP1	0.386
ABCB8	RNF4	0.151
ABCB8	SLC15A1	0.311
ABCB8	SLC1A5	0.166
ABCB8	SLC2A12	0.262
ABCB8	SPPL2B	0.161
ABCB9	ATP2B2	0.172
ABCB9	DDX60L	0.494
ABCB9	LRRC8B	0.183
ABCB9	PCDHA3	0.154
ABCB9	PCDHAC1	0.201
ABCB9	SLC17A2	0.159
ABCC1	ATP5A1	0.517
ABCC1	ATP6V1F	0.233
ABCC1	ATP6V1H	0.386
ABCC1	CANX	0.413
ABCC1	CAV1	0.458
ABCC1	CLGN	0.411
ABCC1	CSNK2A1	0.525
ABCC1	CTDSPL	0.15
ABCC1	DBT	0.402
ABCC1	ECHS1	0.422
ABCC1	EEF1A1	0.399
ABCC1	EIF3C	0.401
ABCC1	FASN	0.47
ABCC1	FKBP8	0.454
ABCC1	FLOT1	0.213
ABCC1	HNRNPL	0.433
ABCC1	HRAS	0.279
ABCC1	IDH3A	0.422
ABCC1	KRAS	0.233
ABCC1	LGALS8	0.189
ABCC1	MCU	0.401
ABCC1	MRPL17	0.4
ABCC1	NDUFAF3	0.387
ABCC1	NDUFB9	0.388
ABCC1	NFS1	0.426
ABCC1	NR3C1	0.342
ABCC1	PAICS	0.44
ABCC1	PDCD6IP	0.438
ABCC1	PDHX	0.409
ABCC1	PGRMC2	0.392
ABCC1	PSMC5	0.368
ABCC1	PSMD2	0.403
ABCC1	PTGES3	0.425
ABCC1	PUF60	0.392
ABCC1	RAVER1	0.443
ABCC1	RPS7	0.255
ABCC1	SAFB	0.396
ABCC1	SEC63	0.412
ABCC1	SLC15A3	0.321
ABCC1	STT3B	0.437
ABCC1	STX4	0.728
ABCC1	SURF1	0.387
ABCC1	TMCO1	0.4
ABCC1	TMEM173	0.203
ABCC1	TMEM33	0.379
ABCC1	TMOD2	0.787
ABCC1	TMX2	0.386
ABCC1	UNC93B1	0.172
ABCC1	VCP	0.478
ABCC1	VDAC1	0.377
ABCC1	VDAC2	0.42
ABCC1	VDAC3	0.442
ABCC10	ATP2B2	0.178
ABCC10	CHRND	0.197
ABCC10	ECSIT	0.187
ABCC10	HNRNPD	0.187
ABCC10	SLC17A2	0.157
ABCC10	SV2C	0.251
ABCC10	TEX264	0.183
ABCC11	CFTR	0.177
ABCC2	ATP6V1B1	0.219
ABCC2	ATP6V1E1	0.22
ABCC2	CHCHD2	0.386
ABCC2	EEF1A1	0.277
ABCC2	EIF4A1	0.22
ABCC2	HSPA4	0.431
ABCC2	JUP	0.436
ABCC2	KRAS	0.163
ABCC2	MMGT1	0.386
ABCC2	MRPL10	0.386
ABCC2	MRPL24	0.399
ABCC2	MRPL37	0.386
ABCC2	MRPL57	0.386
ABCC2	MRPS26	0.24
ABCC2	MRPS28	0.203
ABCC2	MRPS35	0.386
ABCC2	NDUFA10	0.386
ABCC2	NDUFA2	0.214
ABCC2	NDUFA9	0.397
